personId,personName,best
2013NAHM01,Seung Hyuk Nahm (남승혁),6646
2012PARK03,Max Park,6711
2016KOLA02,Tymon Kolasiński,7076
2019HUNG16,Đỗ Quang Hưng,7505
2018BERE01,János Bereczki,7583
2012BEAH01,Ciarán Beahan,7637
2018ELLA01,Omar Ellabban,7720
2017PARK05,DongSoo Park (박동수),7871
2016HUNG08,Lim Hung (林弘),7973
2022KAOE01,Emmanuel Kao,7987
2009HAYS01,Kevin Hays,8124
2009ZEMD01,Feliks Zemdegs,8190
2015LEON02,Ivan Li Ka Leong (李嘉亮),8197
2012PONC02,Patrick Ponce,8236
2015WANG09,Kai-Wen Wang (王楷文),8241
2015WEIB03,Benjamin Wei,8266
2015FUSH01,Firstian Fushada (符逢城),8299
2012ZHAN08,Anyu Zhang (张安宇),8324
2015DELA05,Richard Delacoste,8371
2018ZIMM02,Mark Zimmermann,8418
2013GERH01,Kevin Gerhardt,8442
2018BEHR01,Roxy Behrle,8470
2017FENG09,Yu Feng (冯煜),8480
2019YANG94,Cian-Jyun Yang (楊謙君),8480
2016NUNE11,Brandon Nunez,8513
2017SIAU02,Max Siauw,8530
2016INAB01,Matty Hiroto Inaba,8580
2017NOKE01,Jacob Nokes,8600
2021DUNA01,Brendyn Dunagan,8627
2018GRAH05,Kate Grahame,8643
2018LICH05,Henry Lichner,8650
2010WEYE02,Sebastian Weyer,8719
2017KWAN05,Burno Li Chak Kwan (李澤堃),8723
2018DULL01,Twan Dullemond,8727
2019RODR11,Diego Rodriguez-Ramirez,8741
2015MAJE01,Marek Majerik,8745
2019ZHOU51,Zhangshuai Zhou (周章率),8752
2016SING33,Pahul Singh,8774
2016ROLZ01,Alwin Rölz,8791
2017SANK04,Vishwa Sankar,8819
2015TELL01,Pedro Alejandro Condo Tellez,8840
2010KADD01,Abdelhak Kaddour,8846
2019TARA09,Timofei Tarasenko,8853
2012HUAN12,Ping-Yueh Huang (黃品越),8856
2015ANDA01,Daryl Tan Hong An,8862
2018ALAM08,Leon Marcell Alamanda,8873
2012WENI01,Ivan Lew Yi Wen (刘义文),8876
2017TRAN25,Celine Tran,8889
2014JAYE01,Eli Jay,8922
2016GONZ52,Gabriel Santiago Velez Gonzalez,8927
2016YONG02,Tristan Chua Yong,8932
2018NGHA02,Hayden Ng (吳宇晞),8953
2017SZUL01,Mateusz Szulik,8959
2009KONV01,Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),8967
2019ZENG10,Wei-Ming Zeng (曾唯銘),8983
2015XION03,Max Xiong (熊锐明),8991
2019BREA02,Silas Breault,9006
2010WUIF01,Yi-Fan Wu (吳亦凡),9017
2021DUTI01,Tianzuo Du (杜天佐),9019
2017PALI04,Inigo Miguel B. Palisoc,9026
2016PFEI01,Jack Pfeifer,9068
2013KEJR01,Aryan Kejriwal,9069
