personId,personName,best
2016CHAP04,Stanley Chapel,14763
2013LINK01,Kaijun Lin (林恺俊),16917
2019HIRS01,Ezra Hirschi,19343
2019ECKE02,Ryan Eckersley,23327
2016SIGG01,Graham Siggins,23462
2021TRIP01,Michael Tripodi,25848
2017DEBS01,Adrian Dębski,26546
2013NELS01,Tom Nelson,27624
2013WALL03,Daniel Wallin,27914
2014SCHO02,Cale Schoon,30063
2015ALEK01,Grigorii Alekseev,31417
2012STRA02,Roman Strakhov,34977
2015CHER07,Tommy Cherry,36163
2016XUWE02,Sora Wenjie Xu (徐文杰),36403
2022STRA10,Thomas Strasser,36733
2007LUJI01,Jia-Hong Lu (陸嘉宏),36843
2016PRZY01,Kamil Przybylski,37054
2013EGDA02,Martin Vædele Egdal,38949
2019KOBE03,Elliott Kobelansky,39526
2014BOYA01,Mark Boyanowski,40431
2018SHEN07,Mengfei Shen (沈梦非),44112
2016MART29,Artyom Martirosov,44173
2017GUTM01,Manuel Gutman,45594
2017SWOR01,Noah Swor,45781
2014GARC27,Arthur Garcin,46213
2017SEMO02,Marcos Ferreira Semolini,48422
2015BUAT01,Witali Bułatow,49912
2010SHIX01,Xin Shi (石欣),52053
2012HALE01,Callum Hales-Jepp,52452
2016FANG01,Shenghai Fang (方胜海),52977
2019CSEN01,Bálint Csengő,54928
2015KUCA01,Carter Kucala,55285
2011GRIT01,Oleg Gritsenko,55579
2017SUNC02,Christopher Sun,55736
2013GHOD01,Abhijeet Ghodgaonkar,57287
2018BLOC01,Jonathan Blöcher,57675
2015QUAN03,Ng Jia Quan (黄佳铨),58632
2018GONZ30,Julian Alejandro Forero Gonzalez,58854
2015HUAN48,Cary Huang,60200
2010CHAN20,Nevins Chan Pak Hoong (陈百鸿),61000
2010BENT01,Jan Bentlage,61500
2022CHIA04,Luca Chiandotto,64800
2013LANG03,Mason Langenderfer,66100
2017FENG10,Hill Pong Yong Feng,67100
2009LIUE01,Evan Liu,70900
2016BRIJ01,Abner Brijesh,74900
2005KOCZ01,István Kocza,75100
2017MEYS02,Cedric Meysing,77200
2007HUGH01,Mike Hughey,78200
2015MACK06,Zeke Mackay,78900
2016AMBE02,Dieter Amberger,79300
2016WHIT16,Jason White,80400
2011BANS02,Shivam Bansal,81600
2014LEZA02,Bruno Lezama,81800
2016KRAF01,Noah Kraft,81900
2011FERA01,Joshua Feran,82800
2010UTOM01,Vincent Hartanto Utomo,83600
2012LAUR02,Anthony Lauro,83600
2014KOUL01,Sukant Koul,84000
2017SIAU02,Max Siauw,86700
2016SOON01,Jareth Soong Ying Rui (宋颖锐),87200
2014MACE02,Fernando Israel Zúñiga Macedo,87500
2015SANC18,Josete Sánchez,87700
2016DAVI02,Ethan Davis,87700
2022WADH02,Ashwyn Wadhawan,87700
2017KLOS01,Willem Klose,89700
2017WANY29,Yifan Wang (王逸帆),91100
2008BERG04,Mats Bergsten,92200
2023XUZI01,Ziyi Xu (徐梓翼),92500
2017CAST41,Raymos Castillo,94600
2014MILE01,Patryk Milewczyk,96200
2013GOOD01,Daniel Goodman,96300
2017HUGH04,Lennon Hughes,98400
2017FONS04,Jan Fonš,100100
2013APAZ01,Yehude Rudy Canaza Apaza,100300
2020KARA01,David Karalli (داود قراعلي),101900
2008CASI01,Gabriel Alejandro Orozco Casillas,103400
2010VERE01,Manu Vereecken,103800
2013CRAI01,Howie Craig,105900
2015BOLT01,Matej Bolta,105900
2014WENW01,Wong Chong Wen (黄崇文),106400
2015BAOW01,Weina Bao (鲍伟娜),107400
2015HETI01,Ting He (禾廷),109000
2014DETU01,Eddy Deturche,112100
2003HARD01,Chris Hardwick,112700
2018ZYNE01,Arkadiusz Żynel,112800
2022NAGO03,Takeo Nagoshi (名越丈雄),113400
2014OHLE01,Simone Ohler,113900
2011WELC01,Walker Welch,114900
2017ASMU01,Thor Muto Asmund,115000
2014HANJ02,Jiachi Han (韩佳池),116700
2009WANG62,Yuxin Wang (王宇欣),118600
2014TANA01,Takayuki Tanaka (田中隆喜),123800
2015EWER01,Helmer Ewert,125000
2016HART02,Sean Hartman,125900
2007YUNQ01,Yunqi Ouyang (欧阳韵奇),130500
2020MOCO01,Conan Mo,133300
2017MAND13,Francisco Moraes Mandalozzo,139200
2016ZENK01,Viktor Zenk,143000
2020DWOR01,Kacper Paweł Dworak,144300
2015SALO01,Álvaro Aguilar Salobreña,145000
2017SOLE01,Aaron Soley,150100
2017SAKA04,Takafumi Sakakibara (榊原隆文),165900
2017KRZY01,Bartosz Krzysztoszek,175200
2016DURA09,Paweł Duraj,176100
2013HUBH01,Hanns Hub,179500
2020TONG02,Draco Tong,181500
2008CLEM01,Kit Clement,187100
2016BENI05,Jeremy Benik,197900
2013DICK01,Matthew Dickman,227400
